,id,title,adult,overview,original_language,popularity,release_date,vote_average,vote_count
47,361743,Top Gun: Maverick,False,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",en,914.761,2022-05-24,8.2,88
48,840439,Tarsilinha,False,Tarsilinha sets off on a journey to save her mother’s memory. The only way to do this is to find her mom's stolen keepsakes and overcome her own fears.,pt,458.061,2022-03-17,5.0,2
49,938596,Bull Shark,False,A hungry shark begins feeding on unsuspecting lake goers in a small Texas town.,en,598.829,2022-02-05,5.8,23
50,678287,Marmaduke,False,"Great Dane Marmaduke epitomizes the overgrown lapdog, with an irascible streak and a penchant for mischief that is tempered with a deep sense of love and responsibility for his human family, the Winslows. The new animation is set in the world of elite dog shows, rife divas, rivalries and slapstick comedy.",en,494.634,2022-04-28,5.8,15
51,476669,The King's Man,False,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",en,595.637,2021-12-22,6.9,2676
52,566525,Shang-Chi and the Legend of the Ten Rings,False,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,en,667.2,2021-09-01,7.7,6504
53,803114,The Requin,False,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",en,645.138,2022-01-28,4.7,123
54,928999,Desperate Riders,False,"After Kansas Red rescues young Billy from a card-game shootout, the boy asks Red for help protecting his family from the outlaw Thorn, who’s just kidnapped Billy’s mother, Carol. As Red and Billy ride off to rescue Carol, they run into beautiful, tough-as-nails Leslie, who’s managed to escape Thorn’s men. The three race to stop Thorn’s wedding to Carol with guns a-blazing - but does she want to be rescued?",en,404.397,2022-02-25,6.1,39
55,818397,Memory,False,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",en,634.644,2022-04-28,7.3,124
56,843241,The Seven Deadly Sins: Cursed by Light,False,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",ja,887.669,2021-07-02,7.9,341
57,524434,Eternals,False,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",en,652.323,2021-11-03,7.1,5599
58,460458,Resident Evil: Welcome to Raccoon City,False,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",en,577.718,2021-11-24,6.2,1559
59,928381,Restless,False,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",fr,428.597,2022-02-25,6.0,245
60,753232,The Commando,False,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",en,429.846,2022-01-07,6.5,70
61,425909,Ghostbusters: Afterlife,False,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",en,515.107,2021-11-11,7.7,2738
62,890656,Fistful of Vengeance,False,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,en,395.515,2022-02-17,5.4,171
63,860623,Last Man Down,False,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",en,519.446,2021-10-19,6.3,464
64,624860,The Matrix Resurrections,False,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",en,472.366,2021-12-16,6.7,3696
65,454626,Sonic the Hedgehog,False,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",en,378.906,2020-02-12,7.4,8009
66,926899,The House,False,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",en,409.568,2022-01-14,7.0,609
67,918832,Curious George: Cape Ahoy,False,"With help from a local fisherman, his niece and an adorable baby seal, George embarks on a quest in search of the long-lost shipwreck of legendary sea captain Trumpet Tooter.",en,313.831,2021-09-30,2.4,5
68,783461,Looop Lapeta,False,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",hi,400.764,2022-02-04,6.3,43
69,632727,Texas Chainsaw Massacre,False,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",en,486.626,2022-02-18,5.2,762
70,646385,Scream,False,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",en,501.722,2022-01-12,6.8,1318
71,766907,American Siege,False,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,en,299.898,2022-01-07,5.8,84
